date,time,dataset_name,state_name,time_sec,space_bytes
2017-04-28,21:09:23,ox5k,Preprocess,69,1982969659
2017-04-28,22:00:26,ox5k,Descriptor,3063,2248208389
2017-04-29,01:45:58,ox5k,Cluster,13531,51200033
2017-04-29,02:01:46,ox5k,Assign,948,70256512
2017-04-29,02:03:03,ox5k,Hamm,76,25632785
2017-04-29,03:10:34,ox5k,Index,4051,295983683
2017-04-29,20:03:09,ballads,Preprocess,1052,617321316
2017-04-29,20:17:59,ballads,Descriptor,889,654571525
2017-04-29,21:23:04,ballads,Cluster,3905,51200033
2017-04-29,21:27:41,ballads,Assign,277,20455360
2017-04-29,21:28:05,ballads,Hamm,23,25632785
2017-04-29,21:45:41,ballads,Index,1056,88640568
2017-05-02,10:26:24,ox5k_100,Preprocess,4,47167931
2017-05-02,10:27:08,ox5k_100,Descriptor,44,23040005
2017-05-02,10:28:10,ox5k_100,Cluster,62,512033
2017-05-02,10:28:17,ox5k_100,Assign,6,720000
2017-05-02,10:28:19,ox5k_100,Hamm,1,288784
2017-05-02,10:30:06,ox5k_100,Index,106,8041272
2017-05-11,14:51:54,kantipur_daily,Preprocess,0,66587118
2017-05-11,14:53:13,kantipur_daily,Descriptor,78,23040005
2017-05-11,14:56:48,kantipur_daily,Cluster,215,5120033
2017-05-11,14:56:53,kantipur_daily,Assign,5,720000
2017-05-11,14:56:55,kantipur_daily,Hamm,2,2592784
2017-05-11,15:04:01,kantipur_daily,Index,425,34118387



2017-05-12,10:33:12,ox5k_100,Preprocess,5,47167931
2017-05-12,10:33:43,ox5k_100,Descriptor,31,12800005
2017-05-12,10:35:48,ox5k_100,Cluster,125,5120033
2017-05-12,10:35:51,ox5k_100,Assign,2,400000
2017-05-12,10:35:53,ox5k_100,Hamm,1,2592784
2017-05-12,10:37:42,ox5k_100,Index,109,8404388
2017-05-12,10:38:58,ox5k_300,Preprocess,17,139391063
2017-05-12,10:40:10,ox5k_300,Descriptor,72,38400005
2017-05-12,10:49:45,ox5k_300,Cluster,574,15360033
2017-05-12,10:49:57,ox5k_300,Assign,11,1200000
2017-05-12,10:50:00,ox5k_300,Hamm,2,7712785
2017-05-12,10:54:18,ox5k_300,Index,257,18135557
2017-05-12,10:58:17,ox5k_700,Preprocess,36,318131672
2017-05-12,11:00:49,ox5k_700,Descriptor,152,89600005
2017-05-12,11:24:43,ox5k_700,Cluster,1434,35840033
2017-05-12,11:25:13,ox5k_700,Assign,29,2800000
2017-05-12,11:25:18,ox5k_700,Hamm,4,17952785
2017-05-12,11:36:52,ox5k_700,Index,693,52665391
2017-05-12,11:57:02,ox5k_1100,Preprocess,73,496442190
2017-05-12,12:00:40,ox5k_1100,Descriptor,217,140800005
2017-05-12,12:39:18,ox5k_1100,Cluster,2318,56320033
2017-05-12,12:40:11,ox5k_1100,Assign,52,4400000
2017-05-12,12:40:20,ox5k_1100,Hamm,8,28192785
2017-05-12,12:59:26,ox5k_1100,Index,1146,82591178
2017-05-12,13:04:36,ox5k_2600,Preprocess,169,1196340274
2017-05-12,13:13:24,ox5k_2600,Descriptor,528,332800005